date,PRCP,SNOW,TMAX
2020-01-01T00:00:00,0,0,41
2020-01-02T00:00:00,0,0,49
2020-01-03T00:00:00,0.15,0,49
2020-01-04T00:00:00,0.27,0,51
2020-01-05T00:00:00,0,0,42
2020-01-06T00:00:00,0.04,0.2,45
2020-01-07T00:00:00,0,0,45
2020-01-08T00:00:00,0,0,42
2020-01-09T00:00:00,0,0,34
2020-01-10T00:00:00,0,0,55
2020-01-11T00:00:00,0,0,69
2020-01-12T00:00:00,0.05,0,68
2020-01-13T00:00:00,0,0,46
2020-01-14T00:00:00,0.07,0,46
2020-01-15T00:00:00,0,0,50
2020-01-16T00:00:00,0.11,0,49
2020-01-17T00:00:00,0,0,33
2020-01-18T00:00:00,0.37,2.1,37
2020-01-19T00:00:00,0,0,43
2020-01-20T00:00:00,0,0,31
2020-01-21T00:00:00,0,0,33
2020-01-22T00:00:00,0,0,38
2020-01-23T00:00:00,0,0,47
2020-01-24T00:00:00,0,0,51
2020-01-25T00:00:00,0.85,0,51
2020-01-26T00:00:00,0,0,46
2020-01-27T00:00:00,0,0,45
2020-01-28T00:00:00,0,0,43
2020-01-29T00:00:00,0,0,41
2020-01-30T00:00:00,0,0,38
2020-01-31T00:00:00,0.02,0,44
2020-02-01T00:00:00,0,0,43
2020-02-02T00:00:00,0.07,0,45
2020-02-03T00:00:00,0,0,57
2020-02-04T00:00:00,0,0,61
2020-02-05T00:00:00,0,0,55
2020-02-06T00:00:00,0.51,0,41
2020-02-07T00:00:00,0.25,0,56
2020-02-08T00:00:00,0,0,41
2020-02-09T00:00:00,0,0,44
2020-02-10T00:00:00,0.37,0,47
2020-02-11T00:00:00,0.28,0,48
2020-02-12T00:00:00,0.13,0,46
2020-02-13T00:00:00,0.39,0,44
2020-02-14T00:00:00,0,0,40
2020-02-15T00:00:00,0,0,31
2020-02-16T00:00:00,0,0,44
2020-02-17T00:00:00,0,0,51
2020-02-18T00:00:00,0,0,47
2020-02-19T00:00:00,0,0,48
2020-02-20T00:00:00,0,0,35
2020-02-21T00:00:00,0,0,35
2020-02-22T00:00:00,0,0,50
2020-02-23T00:00:00,0,0,56
2020-02-24T00:00:00,0,0,62
2020-02-25T00:00:00,0.14,0,53
2020-02-26T00:00:00,0,0,48
2020-02-27T00:00:00,0.4,0,43
2020-02-28T00:00:00,0,0,42
2020-02-29T00:00:00,0,0,35
2020-03-01T00:00:00,0,0,44
2020-03-02T00:00:00,0,0,58
2020-03-03T00:00:00,0.26,0,59
2020-03-04T00:00:00,0,0,56
2020-03-05T00:00:00,0,0,51
2020-03-06T00:00:00,0.37,0,45
2020-03-07T00:00:00,0,0,48
2020-03-08T00:00:00,0,0,59
2020-03-09T00:00:00,0,0,72
2020-03-10T00:00:00,0,0,65
2020-03-11T00:00:00,0,0,57
2020-03-12T00:00:00,0.03,0,50
2020-03-13T00:00:00,0.26,0,70
2020-03-14T00:00:00,0,0,57
2020-03-15T00:00:00,0,0,54
2020-03-16T00:00:00,0,0,45
2020-03-17T00:00:00,0.16,0,54
2020-03-18T00:00:00,0,0,54
2020-03-19T00:00:00,0.93,0,52
2020-03-20T00:00:00,0,0,77
2020-03-21T00:00:00,0,0,65
2020-03-22T00:00:00,0,0,45
2020-03-23T00:00:00,1.16,0,41
2020-03-24T00:00:00,0,0,55
2020-03-25T00:00:00,0.01,0,45
2020-03-26T00:00:00,0,0,60
2020-03-27T00:00:00,0,0,69
2020-03-28T00:00:00,0.45,0,54
2020-03-29T00:00:00,0.05,0,47
2020-03-30T00:00:00,0.04,0,52
2020-03-31T00:00:00,0.06,0,49
2020-04-01T00:00:00,0,0,56
2020-04-02T00:00:00,0,0,58
2020-04-03T00:00:00,0.13,0,52
2020-04-04T00:00:00,0.02,0,62
2020-04-05T00:00:00,0,0,65
2020-04-06T00:00:00,0.07,0,66
2020-04-07T00:00:00,0,0,68
2020-04-08T00:00:00,0.2,0,64
2020-04-09T00:00:00,0.12,0,59
2020-04-10T00:00:00,0.01,0,49
2020-04-11T00:00:00,0,0,56
2020-04-12T00:00:00,0,0,63
2020-04-13T00:00:00,1.92,0,67
2020-04-14T00:00:00,0,0,60
2020-04-15T00:00:00,0,0,54
2020-04-16T00:00:00,0,0,50
2020-04-17T00:00:00,0.07,0,51
2020-04-18T00:00:00,0.22,0,46
2020-04-19T00:00:00,0,0,63
2020-04-20T00:00:00,0,0,57
2020-04-21T00:00:00,0.18,0,61
2020-04-22T00:00:00,0,0,51
2020-04-23T00:00:00,0.13,0,52
2020-04-24T00:00:00,0.48,0,49
2020-04-25T00:00:00,0,0,65
2020-04-26T00:00:00,0.22,0,51
2020-04-27T00:00:00,0,0,50
2020-04-28T00:00:00,0,0,67
2020-04-29T00:00:00,0.01,0,59
2020-04-30T00:00:00,0.71,0,60
2020-05-01T00:00:00,0.21,0,66
2020-05-02T00:00:00,0,0,73
2020-05-03T00:00:00,0.04,0,80
2020-05-04T00:00:00,0,0,75
2020-05-05T00:00:00,0,0,63
2020-05-06T00:00:00,0.06,0,52
2020-05-07T00:00:00,0,0,67
2020-05-08T00:00:00,0.45,0,57
2020-05-09T00:00:00,0.03,0,48
2020-05-10T00:00:00,0,0,64
2020-05-11T00:00:00,0.05,0,61
2020-05-12T00:00:00,0,0,59
2020-05-13T00:00:00,0,0,64
2020-05-14T00:00:00,0,0,67
2020-05-15T00:00:00,0.07,0,84
2020-05-16T00:00:00,0.01,0,77
2020-05-17T00:00:00,0,0,69
2020-05-18T00:00:00,0,0,70
2020-05-19T00:00:00,0,0,68
2020-05-20T00:00:00,0,0,66
2020-05-21T00:00:00,0,0,68
2020-05-22T00:00:00,0.03,0,77
2020-05-23T00:00:00,0.65,0,67
2020-05-24T00:00:00,0,0,67
2020-05-25T00:00:00,0,0,71
2020-05-26T00:00:00,0,0,78
2020-05-27T00:00:00,0,0,79
2020-05-28T00:00:00,0,0,76
2020-05-29T00:00:00,0.03,0,81
2020-05-30T00:00:00,0.02,0,81
2020-05-31T00:00:00,0,0,70
2020-06-01T00:00:00,0,0,70
2020-06-02T00:00:00,0,0,72
2020-06-03T00:00:00,0.45,0,79
2020-06-04T00:00:00,0.16,0,84
2020-06-05T00:00:00,0.26,0,79
2020-06-06T00:00:00,0.06,0,86
2020-06-07T00:00:00,0,0,76
2020-06-08T00:00:00,0,0,79
2020-06-09T00:00:00,0,0,87
2020-06-10T00:00:00,0,0,85
2020-06-11T00:00:00,0.05,0,84
2020-06-12T00:00:00,0,0,85
2020-06-13T00:00:00,0,0,75
2020-06-14T00:00:00,0,0,74
2020-06-15T00:00:00,0,0,75
2020-06-16T00:00:00,0,0,78
2020-06-17T00:00:00,0,0,78
2020-06-18T00:00:00,0,0,77
2020-06-19T00:00:00,0,0,83
2020-06-20T00:00:00,0,0,86
2020-06-21T00:00:00,0,0,88
2020-06-22T00:00:00,0,0,90
2020-06-23T00:00:00,0,0,87
2020-06-24T00:00:00,0,0,86
2020-06-25T00:00:00,0,0,87
2020-06-26T00:00:00,0,0,87
2020-06-27T00:00:00,0.09,0,80
2020-06-28T00:00:00,0.11,0,90
2020-06-29T00:00:00,0.58,0,87
2020-06-30T00:00:00,0,0,80
2020-07-01T00:00:00,0.03,0,80
2020-07-02T00:00:00,0,0,92
2020-07-03T00:00:00,0.13,0,90
2020-07-04T00:00:00,0,0,87
2020-07-05T00:00:00,0,0,92
2020-07-06T00:00:00,0.54,0,96
2020-07-07T00:00:00,0,0,82
2020-07-08T00:00:00,0.02,0,83
2020-07-09T00:00:00,0,0,89
2020-07-10T00:00:00,2.54,0,77
2020-07-11T00:00:00,0.76,0,83
2020-07-12T00:00:00,0.04,0,87
2020-07-13T00:00:00,0.02,0,86
2020-07-14T00:00:00,0,0,85
2020-07-15T00:00:00,0,0,82
2020-07-16T00:00:00,0,0,78
2020-07-17T00:00:00,0.03,0,84
2020-07-18T00:00:00,0,0,91
2020-07-19T00:00:00,0,0,94
2020-07-20T00:00:00,0,0,93
2020-07-21T00:00:00,0,0,91
2020-07-22T00:00:00,1.42,0,92
2020-07-23T00:00:00,0,0,86
2020-07-24T00:00:00,0.19,0,80
2020-07-25T00:00:00,0,0,88
2020-07-26T00:00:00,0,0,92
2020-07-27T00:00:00,0,0,93
2020-07-28T00:00:00,0,0,93
2020-07-29T00:00:00,0,0,90
2020-07-30T00:00:00,0.08,0,92
2020-07-31T00:00:00,0.78,0,82
2020-08-01T00:00:00,0,0,88
2020-08-02T00:00:00,0,0,89
2020-08-03T00:00:00,0.54,0,88
2020-08-04T00:00:00,0.55,0,79
2020-08-05T00:00:00,0,0,86
2020-08-06T00:00:00,0,0,82
2020-08-07T00:00:00,0.46,0,81
2020-08-08T00:00:00,0,0,83
2020-08-09T00:00:00,0,0,87
2020-08-10T00:00:00,0,0,92
2020-08-11T00:00:00,0,0,88
2020-08-12T00:00:00,1.76,0,90
2020-08-13T00:00:00,0.24,0,79
2020-08-14T00:00:00,0,0,86
2020-08-15T00:00:00,0,0,84
2020-08-16T00:00:00,0.21,0,72
2020-08-17T00:00:00,0.14,0,81
2020-08-18T00:00:00,0.2,0,82
2020-08-19T00:00:00,0.14,0,75
2020-08-20T00:00:00,0,0,80
2020-08-21T00:00:00,0,0,83
2020-08-22T00:00:00,0,0,88
2020-08-23T00:00:00,0,0,86
2020-08-24T00:00:00,0,0,90
2020-08-25T00:00:00,0.36,0,89
2020-08-26T00:00:00,0,0,77
2020-08-27T00:00:00,0.42,0,90
2020-08-28T00:00:00,0,0,85
2020-08-29T00:00:00,0.01,0,81
2020-08-30T00:00:00,0,0,79
2020-08-31T00:00:00,0,0,77
2020-09-01T00:00:00,0.23,0,77
2020-09-02T00:00:00,0.14,0,79
2020-09-03T00:00:00,0.71,0,85
2020-09-04T00:00:00,0,0,85
2020-09-05T00:00:00,0,0,80
2020-09-06T00:00:00,0,0,82
2020-09-07T00:00:00,0,0,79
2020-09-08T00:00:00,0,0,84
2020-09-09T00:00:00,0,0,81
2020-09-10T00:00:00,1.2,0,82
2020-09-11T00:00:00,0,0,76
2020-09-12T00:00:00,0,0,74
2020-09-13T00:00:00,0,0,74
2020-09-14T00:00:00,0,0,75
2020-09-15T00:00:00,0,0,66
2020-09-16T00:00:00,0,0,71
2020-09-17T00:00:00,0,0,75
2020-09-18T00:00:00,0,0,70
2020-09-19T00:00:00,0,0,63
2020-09-20T00:00:00,0,0,65
2020-09-21T00:00:00,0,0,65
2020-09-22T00:00:00,0,0,71
2020-09-23T00:00:00,0,0,79
2020-09-24T00:00:00,0,0,75
2020-09-25T00:00:00,0,0,77
2020-09-26T00:00:00,0,0,74
2020-09-27T00:00:00,0.03,0,79
2020-09-28T00:00:00,0.02,0,77
2020-09-29T00:00:00,0.47,0,74
2020-09-30T00:00:00,1.14,0,71
2020-10-01T00:00:00,0,0,72
2020-10-02T00:00:00,0.04,0,65
2020-10-03T00:00:00,0,0,66
2020-10-04T00:00:00,0,0,67
2020-10-05T00:00:00,0,0,70
2020-10-06T00:00:00,0,0,69
2020-10-07T00:00:00,0.02,0,74
2020-10-08T00:00:00,0,0,64
2020-10-09T00:00:00,0,0,69
2020-10-10T00:00:00,0,0,71
2020-10-11T00:00:00,0,0,67
2020-10-12T00:00:00,0.96,0,57
2020-10-13T00:00:00,0.34,0,58
2020-10-14T00:00:00,0,0,67
2020-10-15T00:00:00,0,0,71
2020-10-16T00:00:00,1.36,0,66
2020-10-17T00:00:00,0.01,0,59
2020-10-18T00:00:00,0,0,62
2020-10-19T00:00:00,0,0,65
2020-10-20T00:00:00,0,0,71
2020-10-21T00:00:00,0,0,68
2020-10-22T00:00:00,0,0,68
2020-10-23T00:00:00,0,0,69
2020-10-24T00:00:00,0,0,69
2020-10-25T00:00:00,0.02,0,53
2020-10-26T00:00:00,0.02,0,59
2020-10-27T00:00:00,0,0,59
2020-10-28T00:00:00,0.11,0,57
2020-10-29T00:00:00,1.53,0,56
2020-10-30T00:00:00,0.64,0,47
2020-10-31T00:00:00,0,0,46
2020-11-01T00:00:00,0.4,0,55
2020-11-02T00:00:00,0,0,44
2020-11-03T00:00:00,0,0,53
2020-11-04T00:00:00,0,0,62
2020-11-05T00:00:00,0,0,67
2020-11-06T00:00:00,0,0,70
2020-11-07T00:00:00,0,0,74
2020-11-08T00:00:00,0,0,75
2020-11-09T00:00:00,0,0,75
2020-11-10T00:00:00,0,0,74
2020-11-11T00:00:00,0.78,0,72
2020-11-12T00:00:00,0.24,0,68
2020-11-13T00:00:00,0.19,0,50
2020-11-14T00:00:00,0,0,52
2020-11-15T00:00:00,0.07,0,64
2020-11-16T00:00:00,0,0,55
2020-11-17T00:00:00,0,0,50
2020-11-18T00:00:00,0,0,36
2020-11-19T00:00:00,0,0,48
2020-11-20T00:00:00,0,0,63
2020-11-21T00:00:00,0,0,64
2020-11-22T00:00:00,0,0,59
2020-11-23T00:00:00,0.54,0,60
2020-11-24T00:00:00,0,0,48
2020-11-25T00:00:00,0,0,56
2020-11-26T00:00:00,0.79,0,65
2020-11-27T00:00:00,0,0,63
2020-11-28T00:00:00,0,0,56
2020-11-29T00:00:00,0,0,54
2020-11-30T00:00:00,0.98,0,63
2020-12-01T00:00:00,0,0,62
2020-12-02T00:00:00,0,0,43
2020-12-03T00:00:00,0,0,50
2020-12-04T00:00:00,0.11,0,52
2020-12-05T00:00:00,1.02,0,47
2020-12-06T00:00:00,0,0,40
2020-12-07T00:00:00,0,0,40
2020-12-08T00:00:00,0,0,36
2020-12-09T00:00:00,0.05,0,38
2020-12-10T00:00:00,0,0,49
2020-12-11T00:00:00,0,0,57
2020-12-12T00:00:00,0,0,58
2020-12-13T00:00:00,0,0,62
2020-12-14T00:00:00,0.26,0,47
2020-12-15T00:00:00,0,0,39
2020-12-16T00:00:00,0.86,6.5,31
2020-12-17T00:00:00,0.66,4,33
2020-12-18T00:00:00,0,0,32
2020-12-19T00:00:00,0,0,32
2020-12-20T00:00:00,0.01,0,40
2020-12-21T00:00:00,0,0,46
2020-12-22T00:00:00,0,0,46
2020-12-23T00:00:00,0,0,45
2020-12-24T00:00:00,0.24,0,59
2020-12-25T00:00:00,0.92,0,61
2020-12-26T00:00:00,0,0,32
2020-12-27T00:00:00,0,0,37
2020-12-28T00:00:00,0,0,50
2020-12-29T00:00:00,0,0,43
2020-12-30T00:00:00,0,0,43
2020-12-31T00:00:00,0.48,0,48
2021-01-01T00:00:00,0.62,0,40
2021-01-02T00:00:00,0.05,0,51
2021-01-03T00:00:00,0.22,0,38
2021-01-04T00:00:00,0.02,0,43
2021-01-05T00:00:00,0,0,42
2021-01-06T00:00:00,0,0,41
2021-01-07T00:00:00,0,0,41
2021-01-08T00:00:00,0,0,37
2021-01-09T00:00:00,0,0,37
2021-01-10T00:00:00,0,0,41
2021-01-11T00:00:00,0,0,37
2021-01-12T00:00:00,0,0,44
2021-01-13T00:00:00,0,0,43
2021-01-14T00:00:00,0,0,49
2021-01-15T00:00:00,0.38,0,46
2021-01-16T00:00:00,0.78,0,47
2021-01-17T00:00:00,0,0,44
2021-01-18T00:00:00,0,0,45
2021-01-19T00:00:00,0,0,43
2021-01-20T00:00:00,0.02,0,40
2021-01-21T00:00:00,0,0,43
2021-01-22T00:00:00,0,0,45
2021-01-23T00:00:00,0,0,36
2021-01-24T00:00:00,0,0,32
2021-01-25T00:00:00,0,0,37
2021-01-26T00:00:00,0.1,0.1,34
2021-01-27T00:00:00,0,0,37
2021-01-28T00:00:00,0,0,34
2021-01-29T00:00:00,0,0,25
2021-01-30T00:00:00,0,0,32
2021-01-31T00:00:00,0.12,2,26
2021-02-01T00:00:00,1.85,14.8,34
2021-02-02T00:00:00,0.13,0.4,33
2021-02-03T00:00:00,0.01,0.2,37
2021-02-04T00:00:00,0,0,43
2021-02-05T00:00:00,0.07,0,47
2021-02-06T00:00:00,0,0,44
2021-02-07T00:00:00,0.39,4.5,40
2021-02-08T00:00:00,0,0,29
2021-02-09T00:00:00,0,0,33
2021-02-10T00:00:00,0.01,0,35
2021-02-11T00:00:00,0.1,1.3,33
2021-02-12T00:00:00,0,0,30
2021-02-13T00:00:00,0,0,30
2021-02-14T00:00:00,0,0,38
2021-02-15T00:00:00,0.02,0,36
2021-02-16T00:00:00,0.82,0,51
2021-02-17T00:00:00,0,0,34
2021-02-18T00:00:00,0.45,3.2,30
2021-02-19T00:00:00,0.14,1.2,33
2021-02-20T00:00:00,0,0,35
2021-02-21T00:00:00,0,0,37
2021-02-22T00:00:00,0.52,0.4,39
2021-02-23T00:00:00,0.01,0,45
2021-02-24T00:00:00,0,0,54
2021-02-25T00:00:00,0,0,50
2021-02-26T00:00:00,0,0,45
2021-02-27T00:00:00,0.39,0,50
2021-02-28T00:00:00,0.22,0,45
2021-03-01T00:00:00,0.16,0,49
2021-03-02T00:00:00,0,0,33
2021-03-03T00:00:00,0,0,52
2021-03-04T00:00:00,0,0,45
2021-03-05T00:00:00,0,0,37
2021-03-06T00:00:00,0,0,34
2021-03-07T00:00:00,0,0,41
2021-03-08T00:00:00,0,0,43
2021-03-09T00:00:00,0,0,64
2021-03-10T00:00:00,0,0,54
2021-03-11T00:00:00,0,0,71
2021-03-12T00:00:00,0,0,68
2021-03-13T00:00:00,0,0,52
2021-03-14T00:00:00,0,0,54
2021-03-15T00:00:00,0,0,39
2021-03-16T00:00:00,0,0,37
2021-03-17T00:00:00,0,0,47
2021-03-18T00:00:00,0.6,0,47
2021-03-19T00:00:00,0.07,0,43
2021-03-20T00:00:00,0,0,59
2021-03-21T00:00:00,0,0,63
2021-03-22T00:00:00,0,0,62
2021-03-23T00:00:00,0,0,66
2021-03-24T00:00:00,1.27,0,56
2021-03-25T00:00:00,0.01,0,68
2021-03-26T00:00:00,0.19,0,82
2021-03-27T00:00:00,0,0,69
2021-03-28T00:00:00,0.76,0,60
2021-03-29T00:00:00,0,0,55
2021-03-30T00:00:00,0,0,61
2021-03-31T00:00:00,0.35,0,67
2021-04-01T00:00:00,0.03,0,58
2021-04-02T00:00:00,0,0,39
2021-04-03T00:00:00,0,0,53
2021-04-04T00:00:00,0,0,65
2021-04-05T00:00:00,0,0,68
2021-04-06T00:00:00,0,0,70
2021-04-07T00:00:00,0,0,72
2021-04-08T00:00:00,0,0,70
2021-04-09T00:00:00,0.01,0,59
2021-04-10T00:00:00,0.01,0,70
2021-04-11T00:00:00,0.42,0,57
2021-04-12T00:00:00,0.49,0,51
2021-04-13T00:00:00,0.06,0,65
2021-04-14T00:00:00,0,0,72
2021-04-15T00:00:00,0.83,0,58
2021-04-16T00:00:00,0.04,0,53
2021-04-17T00:00:00,0,0,56
2021-04-18T00:00:00,0,0,64
2021-04-19T00:00:00,0,0,65
2021-04-20T00:00:00,0,0,76
2021-04-21T00:00:00,0.11,0,68
2021-04-22T00:00:00,0,0,48
2021-04-23T00:00:00,0,0,64
2021-04-24T00:00:00,0,0,72
2021-04-25T00:00:00,0.59,0,63
2021-04-26T00:00:00,0,0,60
2021-04-27T00:00:00,0,0,64
2021-04-28T00:00:00,0.05,0,85
2021-04-29T00:00:00,0.02,0,75
2021-04-30T00:00:00,0.03,0,71
2021-05-01T00:00:00,0,0,65
2021-05-02T00:00:00,0,0,82
2021-05-03T00:00:00,0.58,0,66
2021-05-04T00:00:00,0.23,0,73
2021-05-05T00:00:00,0.31,0,62
2021-05-06T00:00:00,0,0,66
2021-05-07T00:00:00,0,0,66
2021-05-08T00:00:00,0.05,0,55
2021-05-09T00:00:00,0.47,0,65
2021-05-10T00:00:00,0.03,0,60
2021-05-11T00:00:00,0,0,67
2021-05-12T00:00:00,0,0,68
2021-05-13T00:00:00,0,0,72
2021-05-14T00:00:00,0,0,76
2021-05-15T00:00:00,0,0,79
2021-05-16T00:00:00,0.01,0,75
2021-05-17T00:00:00,0,0,78
2021-05-18T00:00:00,0,0,82
2021-05-19T00:00:00,0,0,86
2021-05-20T00:00:00,0,0,76
2021-05-21T00:00:00,0,0,79
2021-05-22T00:00:00,0,0,89
2021-05-23T00:00:00,0,0,88
2021-05-24T00:00:00,0,0,68
2021-05-25T00:00:00,0,0,73
2021-05-26T00:00:00,0.07,0,86
2021-05-27T00:00:00,0.02,0,81
2021-05-28T00:00:00,1.22,0,69
2021-05-29T00:00:00,0.46,0,51
2021-05-30T00:00:00,0.89,0,51
2021-05-31T00:00:00,0.02,0,70
2021-06-01T00:00:00,0,0,76
2021-06-02T00:00:00,0,0,75
2021-06-03T00:00:00,0.38,0,74
2021-06-04T00:00:00,0.39,0,78
2021-06-05T00:00:00,0,0,89
2021-06-06T00:00:00,0,0,92
2021-06-07T00:00:00,0.07,0,91
2021-06-08T00:00:00,0.47,0,90
2021-06-09T00:00:00,0.01,0,90
2021-06-10T00:00:00,0,0,84
2021-06-11T00:00:00,0,0,69
2021-06-12T00:00:00,0,0,69
2021-06-13T00:00:00,0.01,0,76
2021-06-14T00:00:00,0.22,0,73
2021-06-15T00:00:00,0,0,80
2021-06-16T00:00:00,0,0,77
2021-06-17T00:00:00,0,0,78
2021-06-18T00:00:00,0,0,84
2021-06-19T00:00:00,0.14,0,88
